,id,name,cluster,latitude,longitude,img,call,oneliner,detail,isPark
0,travel_부산_00141,부산남항,0,35.0918619989685,129.037214109255,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=264a874f-7a2e-4733-9349-044794a845ee,,지역 사람들과 관광객들이 어울려 늘 북적이는 곳,"부산남항은 부산항의 바로 옆에 위치하고 있으며 영도대교와 남항대교까지 이르는 항구가 이곳에 해당한다. 부산의 상징인 자갈치시장을 포함해, 부산공동어시장, 그 너머 영도의 남항동이 자리하고 있다. 특히 영도의 남항동에는 크고 작은 조선소들이 많은데 주로 배를 수리하는 곳들이다. 한국전쟁 피난시절 수많은 사람들이 이곳에 터전을 가꾸고 오랜 세월을 버티며 살아온 작은 마을이라 사람 사는 냄새가 많이 베인 곳이다. 반대편인 남부민동에는 국내 최대의 수산물 위판장인 부산공동어시장이 자리하고 있어 냉동창고나 가공공장들이 가득하다. 그 옆으로는 자갈치시장과 항구가 맞닿아 있어서 신선한 수산물들을 싸게 구입할 수 도 있고 맛볼 수도 있어 항상 지역 사람들과 관광객들이 어울려 북적이는 곳이다. 부산남항의 입구에 남항대교가 있다. 남항대교는 부산 서구 안남동과 영도구 영선동을 연결해주는 다리이다. 다리 양쪽 끝에 엘리베이터와 계단이 있어 대교 위에 올라서면 부산 앞바다의 전경이 멋지게 펼쳐진다. 부산에서도 전망 좋은 곳으로 입소문이 나면서 찾는 발걸음이 많아지고 있다. 남항대교 아래로 수변공원도 조성되어 있어서 돗자리를 깔고 휴식을 취하는 지역주민들도 있고, 낚시를 즐기러 오는 강태공들도 많이 찾은 곳이다.",있음
352,food_부산_00500,할매가야밀면,0,35.0989350141599,129.031224287784,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=39eb9dab-a4ad-4e22-b8e3-cfcd36270ca2,051-246-3314,건강한 맛의 밀면을 맛보고 싶다면!,"약간 노르스름한 빛깔의 면발은 알맞게 차지다는 표현이 딱 어울릴 정도로 쫀득하고, 맑게 우려낸 국물은 정성스럽게 간 살얼음 육수라 시원한 맛이 일품이다. 면발과 국물의 조화가 좋은 밀면집이다.",주차가능(공용주차장)
1,travel_부산_00182,부산다이아몬드타워,0,35.100929432638,129.032442805252,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2930593d-fa66-431a-ac3d-3b3d204176b3,,부산의 전망을 한눈에,"다이아몬드타워는 부산 원도심 용두산공원에 있는 관광지이다. 1973년 완성되어 사랑을 받은 부산타워를 전면 리뉴얼해 2021년 12월 15일 재개장했다. 전망대에서 내려다보는 부산 시내와 부산 바다의 경치가 좋아 관광객들에게 인기이며, 밤에는 불꽃맵핑쇼가 펼쳐져 낭만적인 추억을 남기기에도 좋은 곳이다. 타워 앞의 조형물 스노우볼, 토끼와 달 앞에서 인증샷을 찍고, 로봇 ‘다타로’가 타주는 커피를 마시는 등 즐길 거리가 많다.",있음
2,travel_부산_00212,대각사(부산),0,35.1013067506896,129.030652844865,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd124b12-5354-46ec-b9ed-04806950858d,051-245-8781,최초의 일본 사찰이었던 부산 대각사,"조선 500년 말, 서양세력의 강화도 침략에 기인한 척양척화 정책으로 수구파가 득세할 때, 개화파는 가까운 일본과 교류를 추진하고 있었다. 1887년, 부산의 바닷가에 유일한 해변 막사가 한 채 있었는데, 일본과 거래를 하려면 이 막사를 통해야만 일본인들과 무역교류를 할 수 있었다. 명치 유신 9년, 일본황실에서 부산에 불교 정토진종 사찰을 짓게하자, 오오꾸라 재벌이 앞장서서 막사가 있는 이 자리에 동본원사 부산별원이라는 최초의 일본 사찰을 세웠다.
 이 내용은 대각사에 소자오딘 범종에 새겨져 있으며 ''조선의 일본정책''이라는 책자의 기록과 함께 KBS에서 방영한 대하드라마 ''찬란한 여명''에 소개 된바 있다. 이곳은 당시 개화파의 핵심인 유대치(한의사)가 이동인(봉은사스님)의 개화정책을 자문하고, 김옥균, 박영호, 서광범, 윤치호, 서재필 등 개화파 40여 명과 함께 수차에 걸쳐 일본을 내왕하면서 교두보를 마련했던 곳으로, 근대 조선의 개화에 큰 획을 남긴 역사적인 터이다.
 해방 후 동본원사 부산별원은 한국정부에 귀속되었는데, 정부 관제국에서 귀속재산 처분을 할 때 이 사찰 땅과건물을 경매 받아 경남불교종무원으로 발족하였다가 3대 원장 김경우 스님(창건주)에 의해 새로이 한국사찰로 창건한 것이 현재 대각사이다. 창건 이전의 유물은 범종과 석등만이 있을 뿐, 대웅전이나 진시사리탑은 후에 지어졌다. 현 대웅전은 중간기둥이 없는 특수한 건축공법의 철근 콘크리트 구조로서 둘레가 300평에 약 1천여명을 수용할 수 있는 대단위 건물이다.
 법당 가운데 부처님은 1960년무렵 지리산 광산사에서 모셔온 아미타불(조선초기,15세기)이며, 법당구조는 통법당 형식의 불단으로 배열되어 불교 전통문화의 효과를 높였다. 대각사는 재단법인(불교전통문화원)으로 등록된 시민공찰로서 대중포교의 사찰이며, 소소된 단체로 신도회 및 청년회, 학생회, 어린이회가 있어 도심권 포교와 봉사활동 등의 사회참여 운동을 하고있다. 현재까지 창건주인 고불 경우 큰스님이 조실로 주석하고 있다.",
376,food_부산_00128,재기돼지국밥,0,35.0896299627317,129.03986677715,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e8fa8a62-f627-4b9f-8228-0ed9fb4aebaf,051-418-0526,,"백종원의 3대천왕 10회에 ''부산 3대 돼지국밥''으로 프로그램에 출연한 적이 있으며, 백종원님이 직접 방문해 고기의 양이 많다며 감탄하고 간 국밥집이다.
토렴방식으로 밥과 국을 끓여서 깊고 깔끔한 맛이 난다. 오랜 전통이 느껴지는 맛이다. 주변 유명관광지로 ''흰여울 문화마을'' 이있다.",
3,travel_부산_00221,부산 부평 족발 골목,0,35.0992017741005,129.02642704127,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eed58e24-1b0c-4b01-ad21-da00d8fae63b,051-441-3121,80년대 형성된 족발 골목,"씨앗호떡, 곤약 어묵, 매운 떡볶이, 비빔당면, 유부주머니, 밀면, 돼지국밥 등 말이 필요없는 부산의 푸짐한 먹거리. 이 중에서도 말이 필요없는 별미로 첫손에 꼽히는 냉채족발. 매콤한 겨자소스에 당근과 오이 등 각종 야채와 해파리를 올려 맛본다, 덕분에 느끼한 것은 잘 먹지 못하는 젊은 아가씨들도 칼큼한 겨자 소스와 야채의 힘을 빌어 마음껏 맛볼 수 있다. ‘부평 족발골목’ 이라는 이름처럼 부평동 자락에 족발집들이 모여있다. 국제시장을 구경하다 광복로를 따라 올라가면 여기저기 ‘족발’ 간판이 내걸린 부평동 사거리와 닿는다.",
4,travel_부산_00209,부산 가톨릭 특성화 거리,1,35.2446753071785,129.096871971614,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=39e3be13-5177-4e31-b647-aa9a98acffc0,,,"부산 부곡동 지산고등학교 정문에서 가톨릭대학교 정문 인근 약 120m 구간은 일명 ‘가톨릭 특성화 거리’로 불린다. 한국순교복자수녀회, 오륜대 한국순교자박물관, 사도성요한수도회 등 가톨릭 관련 대학과 고등학교를 비롯해서 두 개의 수녀회 본원과 성지, 복지· 피정 시설까지 자리하고 있기 때문이다. 지산고등학교 벽면에는 한국 가톨릭의 박해기·부흥기를 거쳐 현재에 이르기까지 역사적 사건이 조각돼 있다.",
367,food_부산_00382,소문난주문진막국수,1,35.1959866767343,129.059633528121,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=77512e31-82dd-4aff-ada6-f14c50679b65,051-501-7856,부산 사직야구장 근처 막국수 맛집,"부산 사직야구장 근처에 있는 소문난주문진막국수는 부산에서도 막국수 맛집으로 입소문이 난 곳이다. 지하철 사직역에서 가까우며 건물 1층에 넓은 주차장이 마련되어 있다. 식당은 2층으로 올라가 신발을 벗고 들어가는 좌식 테이블로 되어 있으며 대표 메뉴는 막국수, 비빔막국수, 칼국수, 수육이다. 특히 인기가 많은 수육은 두툼하게 썰어 식감이 좋고 칼칼한 김칫소가 곁들여 나와 대표 메뉴인 막국수와 함께 먹으면 좋다. 사람이 많은 시간에는 대기할 수도 있지만, 회전율이 높아 빠르게 들어갈 수 있다.
※ 반려동물 동반 불가",있음 / 주차요금 무료
6,travel_부산_00247,금정선원,1,35.2216163541539,129.074084461186,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c15ccaca-155c-49e5-bb6a-ea247ee402d1,051-555-1208,금정산 기슭에 자리잡은 유서깊은 사찰,"* 금정산의 유서깊은 사찰, 금정선원 *
 

 우거진 백년노송과 기암괴석, 깎아 세운 듯한 절벽 등 산세의 수려함이 마치 작은 금강산과 같다 하여 신라 때부터 소금강이라 불렸던 부산 금정산(金井寺). 바로 이 금정산(金井山) 남동쪽 기슭에 드넓게 자리한 자연공원이 있으니 부산시민들의 넉넉한 쉼터인 금강공원이다.소금강이란 이름에서 유래된 이곳에는 잘 자란 나무가 무성한 숲을 이루고 산새를 비롯한 각종 동식물들이 있을 뿐 아니라 여러 사찰과 암자, 문화유적들이 적지 않은 곳이다. 그 중 짧은 역사에도 불구하고 한암, 효봉, 경봉, 성철, 석주스님 등 근대 한국불교계의 흔치않은 큰 거목들이 두루 주석하던 유서깊은 사찰이 있으니 바로 선학원 사찰 금정사이다. 이렇게 당대의 큰스님들이 한 절에 모인 예는 무척 드문 일로 1950년 한국전쟁 당시 합천 해인사의 가야총림이 문을 닫고 스님들이 남하하게 되자 그해 겨울 효봉 방장스님은 금정선원, 그리고 그 제자 구산스님은 진주 응석사에 주석하시면서 이 일대의 선풍이 드날리게 되는 계기가 되었다 한다. 또한 금정사는 근대 최초의 방생지로 유명한 곳이다.
 

 예로부터 우리나라에는 전국에 걸쳐 많은 방생지가 있었는데 세월이 흐르면서 유명무실해지자 2004년 입적한 칠보사 조실 석주스님이 이곳에 절 마당을 파고 방생지를 설립, 그물이나 낚시로 인해 또다시 화를 입는 물고기들을 위한 회향터를 이루었다 하니 방생의 참뜻을 되짚어 보는 계기가 되기도 한다. 1924년 금우(金牛)스님에 의해 초창된 금정사는 고승대덕들이 왕래하며 머문 참선도량으로 푸른 선지를 휘날렸을 뿐 아니라 재가불자들의 참선수행을 위한 선원을 개설하는 등 정통선원으로 거듭나 있다.
 

 * 조선시대 사형장이었다고? 금정사의 설화 및 역사 *
 

 금정사는 1924년 금우스님에 의해 기도처로 창건됐다. 구전에 이곳이 절골이었다는 것으로 미루어 그 오랜 옛날에는 사찰이 있었던 자리였으리라 짐작하지만 전해오는 문헌이나 기록은 전무하다.지금으로부터 1백여년 전인 조선말기, 금정사가 자리한 이곳은 동래부의 사형집행장이었다고 한다. 지금과 달리 인적도 드물고 산세도 험하던 시절이라 비만 오면 이곳에서 형장의 이슬로 사라진 원혼들의 울음소리가 들려 인적은 더욱 드물게 되었다. 인적이 드물어지자 나병환자들이 모여들어 집성촌이 형성되는 바람에 아랫마을 사람들의 원성이 더욱 높아져 동래부사와 금우스님이 이곳에 토굴을 짓고 기도처로 자리잡았다고 한다. 홀로 목탁을 치며 죽어간 원혼들을 달래주던 스님은 훗날 신도들이 하나둘 생겨나자 원력을 세워 사격을 갖추기 시작했다. 그 뒤 금정사는 1954년 무렵부터 석주스님의 도움으로 중창을 거듭했으며 1993년 대대적인 중창 이후 참선수행도량으로 탈바꿈하게 된 것이다.",없음
5,travel_부산_00160,금정산성마을 먹거리촌,1,35.2503324603387,129.056142876022,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=28acb782-8707-4a7c-b493-578709ee5ff0,,부산의 명소인 금정구 금성동에 자리잡은 산성마을,"부산의 명소인 금정구 금성동에 자리잡은 산성마을은 공기좋고, 물 맑은 수려한 자연 환경 속에 부산의 향토음식인 ‘흑염소 불고기’와 전국적으로 이름난 부산지역 특산물인 민속주 1호인 ‘산성막걸리’가 있어 이곳을 찾는 손님들의 발길이 끊이지 않고 있다. 금정산성 흑염소 불고기는 타 지역과 달리 양념에 고기를 버무려 숯불 위 석쇠에 바로 굽는 직화구이 방식으로 이는 흑염소불고기 특유의 고소한 맛을 유지시키는 비결 중의 하나다. 현재, 금정산성마을 먹거리 촌에는 흑염소불고기, 오리불고기, 오리백숙 등을 취급하는 음식점이 80여개소가 있으며, 등산객, 직장회식, 계모임, 가족외식 등 여러 지역에서 다양한 고객층이 즐겨 찾고 있다. 특히 이 지역 음식점들은 족구장 등을 갖추고 있어 소규모 체육대회 등 행사를 개최하기에 용이하다.",
