,id,name,cluster,latitude,longitude,img,call,oneliner,detail,isPark
0,travel_부산_00184,부산 송도해수욕장,0,35.0768199198884,129.0180495332,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ebec5e1d-cf76-4370-9a7d-009fb3994148,,부산 최초로 개장한 해수욕장,"백사장 길이 800m, 너비 50m, 평균수심 1~1.5m. 부산 자갈치시장에서 3km 떨어진 곳에 위치하며, 부산에서 제일 먼저(1913년) 개장한 해수욕장이다. 2000년부터 5년여 간 정비사업을 펼쳐 줄어든 백사장을 확장하고 분수대 등을 설치하며 해변공원이 되었다. 주위에 수산시장과 암남공원 등이 있다.1913년 부산에서 최초로 개발된 해수욕장 구역으로, 1996년 4월, 군사보호구역에서 개방된 도시 자연공원인 암남공원과 바다낚시로 유명한 두도공원으로 연결된 송도는 울창한 원시림과 자연 그대로 보존된 기암괴석, 그리고 부산의 상징인 갈매기와 멀리 영도를 배경으로 한 조용한 바다정경이 장관인 곳이다.
 

 주변에 다양한 숙박시설과 먹을거리를 갖추고 있으며 구름다리, 산책로, 보트장, 주차장 등 편의시설이 잘 갖추어져 있다. 송도 해안의 암남공원은 해안 생태 공원으로 송도 해안과 부산 남항을 한눈에 담을 수 있는 전망대, 3.8km의 산책로, 도로변 카페, 횟집들이 즐비한 곳이다. 부산시 서구 부민동 3가에는 한국전쟁 중 부산이 임시 수도였을 때 3년 동안 대통령 관저로 사용된 임시수도기념관이 있다. 송도는 이처럼 격변의 역사를 보낸 서구 암남동 장군반도 남단에 자리잡고 있다.",있음(17개소/670대)
204,food_부산_00476,제일 산꼼장어,0,35.0971902299582,129.032279025761,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7b6d04c4-6bd7-403f-8392-e8a59580137a,051-245-8990,,"※ 영업시간 10:00 ~ 24:00

제일 산꼼장어는 자갈치시장 인근에 있는 곰장어 연탄구이 전문 음식점이다. 대표 메뉴인 산꼼장어(석쇠·소금·양념구이)를 연탄구이로 맛볼 수 있으며, 이외에도 장어구이, 새우·조개구이를 맛볼 수 있다. 지하철 이용 시 남포역 2번 출구에서 남포동 주민센터(자갈치시장) 방면으로 걸어오면 된다.",
1,travel_부산_00095,부산 감천문화마을,0,35.0974881365854,129.010608479318,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=58a44a35-5f34-4a39-a780-a292d8e76a3d,,반려동물과 어린왕자 포토존에서 견생샷 남길 수 있는 곳,"감천문화마을은 1950년대 6.25 피난민의 힘겨운 삶의 터전으로 시작되어 현재에 이르기까지 부산의 역사를 그대로 간직하고 있는 곳이다. 산자락을 따라 질서정연하게 늘어선 계단식 집단 주거형태와모든 길이 통하는 미로같은 골목길의 경관은 감천만의 독특함을 보여준다.<부산의 낙후된 달동네였지만 문화예술을 가미한 도시재생사업을 추진하면서 지금은 연간 185만명의 국내외 관광객이 다녀가는 대표 관광명소가 되었다. 산비탈을 따라 계단식으로 들어선 아름다운 파스텔톤의 집들과 미로와 같은 골목길이 있어 한국의 마추픽추, 산토리니로 불린다. 2016년 대한민국 공간문화대상 최고상인 대통령상을 수상하기도 했다.감천문화마을에서는 아름다운 자연과 어우러진 그림같은 마을의 풍경을 즐기면서, 골목골목 설치된 다양한 형태의 작품을 감상할 수 있으며, 감천문화마을 내 입주작가들의 공방을 통해 다양한 공예 체험도 가능하여 관광객들이 끊임없이 찾고 있다.",
3,travel_부산_00019,청학 수변공원,0,35.097673147049,129.061133845771,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=68ab17d7-3b84-4248-a51b-19b84d48531f,,민간 최초의 수변공원,"청학 수변공원은 부산 항만공사와 부산 지방해양항만청이 함께 조성한 민간 최초의 수변공원이다. 바다 가까이 있어 부산항대교를 가장 가까이서 볼 수 있는 공원으로도 유명하다. 조경은 물론이고 체육시설까지 잘 갖춘 공원으로 동해안 국토종주 자전거길에 포함되어 있어 자전거 타기에도 적합하다. 최근 야경이 아름다운 부산항대교 야경 촬영 명소로 알려지면서 영도의 새로운 관광 핫스폿으로 급부상 중이다. 부산항대교 점등시간은 일몰 후 20분부터 11시까지이니 촬영이 목적이라면 미리 점등 시간을 체크한 뒤 방문하는 것이 좋다.
 

 (공지사항) 부산항대교 점등시간 확인 https://www.bukhangbr.com/intro/intro_04.php",없음
256,food_부산_00507,목장원,0,35.0716400952136,129.057362356798,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8d1c33b9-a627-4747-91e8-a1ed740c5510,051-404-5000,오션뷰로 눈과 입이 즐거운 곳,"한국 전통의 토속적인 분위기와 현대적인 세련미를 두루 갖춘 식당으로 각 층마다 특징 있는 인테리어와 부산지역에서 최대 규모를 자랑하고 있다. 식사 후 산책로와 전망대에서 가족, 친구와 함께 휴식을 취할 수도 있다.",주차 가능
2,travel_부산_00143,다대포항,0,35.0526385136988,128.983440197913,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7aa2f92d-685f-4674-958a-1ebc726c9807,,,"다대포항은 부산에서도 가장 서쪽에 위치하고 있는 항구이다. 부산항처럼 무역항이 아니라 대형어선은 없는 주로 중소형 어선이 많은 작고 아담한 항구이다. 바다에서 잡아온 수산물을 경매하는 위판장이 있고 수산시장이 함께 있어서 갓 잡아온 신선한 생선을 저렴한 가격으로 살 수도 있다. 어선이 많이 정박해 있는 곳이다 보니 주변에 대형 가공공장, 냉동공장이 위치하고 있고 회센터도 많이 자리하고 있어서 계절마다 신선한 수산물을 구경하고 맛볼 수 있는 곳이다. 다대포항과 이어진 다대포해수욕장과 함께 일출, 일몰로 유명한 곳이라 사진을 찍으러 오는 사람들을 쉽게 볼 수 있다. 특히 일출 명소로 알려져 있는데 일출 일몰 때에는 포구 한쪽에 세워져 있는 나무선착장이 어우러지며 그림 같은 풍경이 연출된다. 몰운대전망대로 올라가서 다대포항을 바라보면 산에 둘러 쌓여있는 듯한 다대포항을 내려다볼 수 있는데 작은 항구라 포근한 느낌을 준다. 이곳이 알려지면서 아름다운 장관도 보고 신선한 수산물을 맛보러 오는 발걸음이 늘고 있다.",있음
93,hotel_부산_00094,호텔 아쿠아펠리스,0,35.1541281370913,129.118815897298,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5504cd5c-c13f-43c9-8a43-a7f7ed9cfdab,051-790-2300,부산의 아름다움을 자랑하는 광안리에 위치한 호텔,"호텔 아쿠아팰리스는 부산의 아름다움을 자랑하는 광안리에 위치한 호텔이다. 광안대교의 아름다움을 그대로 담은 오션뷰 객실은 물론 지하 816m에서 솟아나는 38℃천연 해수 온천을 보유하여 24시간 운영되는 오션뷰 사우나 및 찜질방 그리고 한국 최초 실내 워터파크를 갖춘 실내 복합형 워터파크 특급호텔이다. 내 인생의 반쪽과 함께하는 특별하고 아름드운 오션뷰 웨딩, 최점단 조명과 음향시설을 갖춘 대규모연회와 각종 세미나에 적합한 연회장들이 갖추어져 있다. 또한 광안대교 바다 전망과 함께 즐기는 퓨전 일식당과 광안리 해변과 광안대교를 온몸으로 느낄 수 있는 스카이워크가 대표적인 랜드마크이다.",주차가능
4,travel_부산_00195,동래문화회관,1,35.2119506866483,129.090545961812,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4e7b8425-e824-4883-99c7-a74d12603566,,시민들의 열린 휴식공간,"동래문화회관은 부산 유일의 숲속공연장으로 공연장 주변에는 동래읍성과 복천박물관 그리고 장영실 과학동산이 자리 잡고 있어 공연은 물론 역사적 경험을 할 수 있는 부산의 대표공연장이다. 대극장(524석), 소극장(200석), 야외공연장(1,130석), 전시실을 두루 갖추고 있는 우리 문화회관은 열린 휴식공간으로 마음 따뜻한 행복을 만끽할 수 있을 것이다.
 

 * 개관일 : 1999년 10월",주차 가능
383,food_부산_00248,수영 돼지국밥,1,35.161748170964,129.114439089243,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14b65143-06bd-4dff-92ee-9997132182bd,051-758-5046,수요미식회에 소개된 돼지국밥 맛있는 곳,"수영돼지국밥은 부산 돼지국밥의 정석, 뽀얀 국물의 돼지국밥이 유명한 광안리 해수욕장 근처 돼지국밥집이다. 부추겉절이나 새우젓, 고추장 양념을 넣어 먹는 돼지국밥, 모둠 국밥 등의 메뉴가 있고, 항정살 수육을 맛볼 수 있는 수육 백반이 인기 있다. 수영돼지국밥은 국이 보드랍고, 담백한 맛이 특징이다. 돼지 다리뼈만 넣고 우려낸 뽀얀 국물의 돼지국밥을 맛볼 수 있다. 6시간 동안 푹 고아 낸 국물은 구수한 맛을 내며 누린내가 나지 않아 돼지국밥을 처음 접하는 사람들도 부담스럽지 않게 즐길 수 있다. 김치가 중국산이 아니고, 국내산이라는 점이 장점이며 김치뿐 아니라 다른 메뉴들도 국내산을 사용한다. 전용 주차장이 있다. 광안리해수욕장이 인접해 있어 함께 둘러보기 좋다.",있음(무료)
5,travel_부산_00006,해운대리버크루즈,1,35.167908247558,129.127317311652,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a8696058-4333-4deb-a61e-cf6bdbe10497,,크루즈를 타고 떠나는 도심 속 여행,"APEC 나루공원을 출발하여 마린시티, 광안대교를 볼 수 있는 코스로 강과 바다를 모두 볼 수 있는 부산 최초의 도심형 유람선. 데이 크루즈, 나이트 크루즈 및 디너 크루즈로 정규 운항이 편성되어 있어 수영강과 해운대, 광안리 바다의 낮과 밤을 한 번에 즐길 수 있다. 2022년 8월 최신형 럭셔리 요트가 입고되어 넓고 고급스러운 실내와 더 넓은 2층 야외 루프탑 공간을 이용할 수 있다. 단체 행사 등 다양한 이벤트를 열기에도 좋다.",
