,id,name,cluster,latitude,longitude,img,call,oneliner,detail,isPark
0,travel_부산_00117,중앙공원,0,35.1122966842438,129.027966342848,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=73413105-2bf4-47b8-99b4-d1e002380f43,,"부산의 중심지, 야경이 아름다운 휴식공원","중앙공원은 부산광역시 중심지에 있으며, 6·25전쟁 때 피난민들이 판자촌을 이루고 살던 대청산을 휴식처로 가꾸기 위하여 조성된 공원으로 처음에는 ''대청공원''이라 불리다가 1986년에 ''중앙공원''으로 명칭이 바뀌었다. 가장 높은 곳에 있는 충혼탑은 높이 70m로 나라를 지키다 숨진 호국영령이 잠들어 있는 곳이다. 충혼탑 앞에는 넓은 광장과 야외조각공원, 중앙도서관, 해군전승비, 시민헌장비, 장건상 동상, 전승탑, 산책로 등을 갖춘 체육공원이 있다. 공원 내에 구덕민속예술관이, 예술관 동쪽으로 봉수대와 약수터가 있으며, 북쪽으로 헌장비, 자갈 마당, 협동골이 있고, 서쪽으로 영모비, 궁도장이 있고, 남쪽으로 구덕터널, 관리사무소, 구덕도서관이 있다.",있음
181,food_부산_00213,1950 태성당,0,35.1232749159707,129.044649720455,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1e7bddb1-4aa0-4be2-815a-d6d56189877f,051-467-3589,최상급 재료로 만드는 정직한 빵집,"대한민국 최초로 243겹의 페이스트리 파이만주를 개발한 쉐프가 운영하는 1950 태성당은 부산의 이름난 빵 맛집이다. 지하철 초량역 12번 출구 근처에 있어 접근성이 좋다. 최상급 북미산 밀가루와 프랑스산 크림치즈, 버터, 생크림, 우지말차 등 까다롭게 선별한 최상급 원재료로 만든다. 시그니처 메뉴는 호두와 수제 팥이 푸짐하게 들어간 파이만주, 부드러운 식감의 쿠슈 생 식빵, 마들렌 반죽으로 구운 꿀꺽 도넛, 생크림 빵, 대파 빵, 9가지 맛이 있는 미니 크루아상 등이다. 여러 종류의 빵을 담은 세트도 다양하게 준비되어 있어 여행 선물용으로도 적당하다. 근처에 국가 등록문화재 문화 공감 수정(정란각)이 있어 함께 둘러보기 좋다.",있음(무료)
1,travel_부산_00156,대신공원,0,35.1216536221097,129.0147831515,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=59278c82-db8a-4d78-beef-07ac0c9ee818,,시민들의 휴식공간,"부산광역시 서구 서대신동에 있는 대신공원은 1968년 낙동강이 부산광역시의 상수도 수원이 되고 나서 근린공원으로 개방되었다. 오랜 시간 수원지 보호를 위해 일반인의 출입을 금지해 왔다. 덕분에 삼나무와 편백나무, 벚나무 등 수령 70년이 넘은 나무들이 울창하게 숲을 이뤘다. 삼림욕하기에 좋아서 하루 4,000명 이상의 시민이 찾는다. 여러 가지 운동시설 외에도 궁도장, 저수지, 약수터, 산책로 등 다양한 편의 시설이 있어 시민들의 휴식 공간으로 인기가 좋다. 또한 공원 봉우리 정상에는 봉수대가 있어 매년 시민축제 때 봉화를 피워 올리며, 봉수대에서는 부산항과 영도가 한눈에 바라보여 전망이 좋다. 구덕도서관, 구덕야영장, 구덕민속예술관 등 공공시설이 공원 내에 있고 인근에는 송도해수욕장과 용두산공원 등이 있다.",주차가능
3,travel_부산_00137,관음사,0,35.1090899124683,128.975778447013,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2683fb0c-d397-4c5d-b3a5-7eddcdce3323,,대한불교 조계종 송광사의 부산 분원,"도심 안에 자리 잡은 관음사는 대한불교 조계종 송광사의 부산 분원이다. 학을 타고 있는 산이라는 뜻의 승학산에 1940년 5월 1일 승려 일련이 관음사라는 조그만 조막을 지어 수행하고 포교하면서 건립되었다. 이후 요사채를 건립하고, 법당과 후원을 짓고 도량을 넓혀, 1984년 승광사 부산 분원으로 등록하였다. 또한, 관음사는 부산광역시 문화재 자료 제60호로 지정된 『묘법연화경』을 소장하고 있다. 조선 전기인 태종 때에 판각·인쇄된 것으로 조선 전기 불경 및 서지학 연구에 중요한 자료를 제공하는 불교사적, 서지학적 가치가 뛰어난 문화재로 불교의 대표적 대승경전으로 널리 알려져 있다. (네이버 백과사전 발췌)",주차가능
398,food_부산_00567,옛날오막집,0,35.1088292934983,129.019701679667,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a2fa9250-1b27-4d27-b906-7fe1b89e7525,051-243-6973,양곱창의 신세계,"※ 영업시간 12:00 ~ 21:30

30년 전통의 부산 양 곱창 숯불구이 전문점 중에서 가장 오래된 집이다.",주차 가능
2,travel_부산_00184,부산 송도해수욕장,0,35.0768199198884,129.0180495332,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ebec5e1d-cf76-4370-9a7d-009fb3994148,,부산 최초로 개장한 해수욕장,"백사장 길이 800m, 너비 50m, 평균수심 1~1.5m. 부산 자갈치시장에서 3km 떨어진 곳에 위치하며, 부산에서 제일 먼저(1913년) 개장한 해수욕장이다. 2000년부터 5년여 간 정비사업을 펼쳐 줄어든 백사장을 확장하고 분수대 등을 설치하며 해변공원이 되었다. 주위에 수산시장과 암남공원 등이 있다.1913년 부산에서 최초로 개발된 해수욕장 구역으로, 1996년 4월, 군사보호구역에서 개방된 도시 자연공원인 암남공원과 바다낚시로 유명한 두도공원으로 연결된 송도는 울창한 원시림과 자연 그대로 보존된 기암괴석, 그리고 부산의 상징인 갈매기와 멀리 영도를 배경으로 한 조용한 바다정경이 장관인 곳이다.
 

 주변에 다양한 숙박시설과 먹을거리를 갖추고 있으며 구름다리, 산책로, 보트장, 주차장 등 편의시설이 잘 갖추어져 있다. 송도 해안의 암남공원은 해안 생태 공원으로 송도 해안과 부산 남항을 한눈에 담을 수 있는 전망대, 3.8km의 산책로, 도로변 카페, 횟집들이 즐비한 곳이다. 부산시 서구 부민동 3가에는 한국전쟁 중 부산이 임시 수도였을 때 3년 동안 대통령 관저로 사용된 임시수도기념관이 있다. 송도는 이처럼 격변의 역사를 보낸 서구 암남동 장군반도 남단에 자리잡고 있다.",있음(17개소/670대)
94,hotel_부산_00095,아난티 힐튼,0,35.198193058227,129.228583889941,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=25c09b92-9400-4623-9299-02c3bc7db966,051-509-1111,하늘과 바다를 가득 안은 완벽한 휴식처,"아난티 힐튼은 부산의 숨은 아름다운 해변을 품은 기장에 위치해 도심 속에서 만나는 완벽한 휴식처(Urban Destination Retreat)’라는 차별화된 컨셉과 규모, 서비스로 이국적이고 색다른 경험을 누릴 수 있다. 아난티 힐튼은 최근 부산의 새로운 관광 명소로 각광받고 있는 오시리아 관광단지의 중심이자 아난티 코브에 위치해 해운대 해수욕장과 센텀시티, MICE 산업의 중심지인 BEXCO에서도 지리적 이점과 편리한 접근성을 갖추고 있다. 60㎡ 이상의 넓은 객실 규모를 갖춘 객실에서는 프라이빗 발코니가 마련되어 푸른 빛 청명한 하늘을 배경으로 탁 트인 오션뷰 또는 마운틴 뷰를 마음껏 감상 할 수 있다. 동서양을 넘나드는 라이브 쿠킹 스테이션, 다모임 레스토랑에서는 트렌디한 다이닝을 경험할 수 있으며, 최고 층에 위치한 맥퀸즈 라운지에서는 여유로운 오후를 위한 애프터눈티를, 맥퀸즈 바에서는 바다를 마주하며 프렌치 믹솔로지스트가 선사하는 다양한 칵테일을 즐길 수 있다.
파노라믹처럼 펼쳐지는 오션 뷰를 마주한 대규모 연회장과 7개의 미팅과 이벤트를 위한 공간을 갖추고 있으며. 그랜드 볼룸은 1,417sqm 규모로 최대 1,500명까지 수용이 가능하고, 볼룸은 977sqm 규모로 아름다운 오션뷰를 감상할 수 있다. 특히 환상적인 바다 전망의 웨딩 채플과 오션 테라스에서는 프라이빗하면서도 이국적인 웨딩을 실현할 수 있다. 여름에는 바다와 맞닿은 듯한 인피니티 풀, 성인 전용 인피니티풀, 키즈 풀, 자쿠지 등 취향에 따라 선택할 수 있으며, 피트니스와 사우나, 테라피룸 등의 부대시설들이 함께 마련되어 있다. 겨울에는 천연 온천욕을 즐길 수 있는 아난티 워터하우스와 국내외 서적들과 다양한 소품으로 가득한 이터니 저니가 있어, 레저와 문화를 동시에 경험할 수 있으며 사계절 내내 완벽한 휴식을 선사한다.

* 우리나라 최고의 오션 인피니티 풀
외국의 유명 리조트처럼 바다와 맞닿은 오션 인피니티 풀을 경험하고 싶다면, 제대로 된 호텔 서비스를 누리며 여유로운 물놀이를 즐기고 싶다면 아난티 힐튼을 추천한다.
18.5 x 40 x 1m 규모의 인피니티 풀을 비롯해 2층에 위치한 성인 전용 인피니티 풀 등 마치 외국에 온 것 같은 분위기를 자아내는 아난티 힐튼의 야외 수영장은 여유로운 물놀이와 동선을 제공한다. 풀 사이드에 넉넉하게 준비된 데이 베드는 태닝을 하거나 낮잠을 즐기기에 적합하다.
아난티 힐튼은 실내 수영장도 특별하다.
전면이 통유리로 둘러싸여 있어 사계절 내내 바다 풍경을 감상하며 수영을 즐길 수 있고, 다양한 넓이와 깊이의 풀을 갖추어 아이들도 안심하고 이용할 수 있다.

* 따로, 또 같이 가족 여행에 최적화된 넓고 여유로운 객실
아난티 힐튼의 모든 객실은 일반 호텔의 1.5배 이상인 프라이빗 발코니 포함 약 21평(70㎡)의 넓은 규모로 보다 쾌적하고 편안한 휴식의 즐거움을 선사한다. 객실마다 프라이빗 발코니가 있어 바다와 숲의 풍경, 바람과 공기를 보다 가까이 누릴 수 있다.
트윈 베드 객실에는 두 개의 침대를 하나로 연결할 수 있는 레일 시스템이 적용되어 있어 어린 자녀와 함께하는 여행에서 보다 안전하고 편안한 수면이 가능하다.
또한 여러 명의 일행과 동반 여행 시 커넥팅 룸을 선택한다면 두 개의 객실을 따로 또 같이 사용하는 편리함도 누릴 수 있다.

아난티 코브의 펜트하우스는 회원제로 운영되므로 주차장 및 출입에 제한이 있다.",주차 가능(400여대)
4,travel_부산_00013,송정서핑학교,1,35.1797824462772,129.200350906289,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e97e62ff-00ac-47f9-b4e0-00ac5661b407,,우리나라 최초의 서핑교육기관,"송정서핑학교는 서미희 대표가 1995년 설립한 우리나라 최초의 서핑교육기관이다. 서미희 대표는 1988년 윈드서핑에 입문했으며, 현재 대한서핑협회 회장을 맡고 있다. 학교는 1999년 부산 1세대 서퍼 교육을 시작했고, 2001년 지금의 학교 이름인 ‘송정서핑학교’로 상호가 바꿔 지금까지 사용되고 있다. 송정서핑학교는 “재미있고, 안전하게 가르치자”는 것을 모토로 삼고 있으며, 여러 명의 실력파 코치들이 교육을 맡고 있다. 이들 코치들은 수상인명구조요원 자격증을 보유하고 있거나, 국내외 서핑대회 수상, 119 수상구조대 Surf Rescue 훈련 코칭, CPR과 응급처치 교육 이수 등 각종 자격증과 경력을 보유한 실력파들이다.
 프로그램 종류는 초급 강습, 중급&상급 강습으로 나뉘며, 초급은 입문자 위주의 교육으로 처음 바다에 입수할 때부터 어떻게 움직여야 안전하게 즐길 수 있는지를 가르친다. 서핑학교가 들어선 이후 송정 바다는 4계절 내내 서퍼들의 방문이 끊이지 않는다.",주차가능
365,food_부산_00147,해운대밀면,1,35.1634173704986,129.165623847105,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=40dae87c-c913-45b9-a07a-e9a9b73617dc,051-743-0392,시원한 국물과 쫀득한 식감의 밀면 맛집,해운대 중동에 있는 해운대밀면은 중동역과 해운대역이 인근에 있어 접근성이 좋다. 조용한 골목길 모퉁이에 있는 해운대밀면은 전용 주차장이 없어 옆 건물 2층 유료 주차장에 주차하면 식사 후 주차료를 지원해 준다. 밀가루로 반죽해서 뽑은 냉면이란 뜻의 밀면은 부산에 오면 꼭 먹어 봐야 하는 먹거리 중 하나이다. 해운대밀면은 진한 육수에 살얼음과 쫄깃쫄깃한 식감의 면발이 맛있어 밀면 맛집으로 찾는 곳이다. 또 새콤달콤한 양념이 올라간 비빔면과 얇은 만두피로 빚은 고기만두도 함께 곁들여 먹으면 더 맛있게 먹을 수 있다. 근처 부산 명소 해운대와 동백섬이 있어 함께 둘러보기 좋다.,없음
7,travel_부산_00125,해리단길,1,35.164839189896,129.157602558715,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=46865b25-001d-4361-8e0a-5c0234cca809,,해운대의 떠오르는 명소,"부산 해운대 도시철도역 4번 출구에서 옛 해운대 기차역 뒤편 기찻길을 건너면 해리단길이 시작된다. 해리단길은 서울의 경리단길에서 아이디어를 얻은 이름이다. 좁은 도로를 따라 다양한 개성의 카페와 음식점들이 속속 생겨나면서 해운대의 떠오르는 명소로 자리매김했다. 골목길 담벼락에 그려진 위트 넘치는 벽화를 비롯해 자유로운 거리 분위기를 즐길 수 있어 시민들은 물론 관광객들도 일부러 찾아오는 핫플레이스다. 사진 찍기 좋은 아기자기한 외관의 카페와 식당, 색다른 기념품을 판매하는 소품 숍, 비정기적으로 열리는 플리마켓 등 다채로운 볼거리가 발길을 끌어모은다. 해운대구청에서는 해리단길 상권 활성화를 위해 젠트리피케이션 방지 조약에 이어서 상생협약까지 체결한 상태다.",있음(공영주차장)
